id;test_run_id;ts;ts_iso;source;severity;type;message;meta_json
54;4;1785915433.0986269;2026-08-05T07:37:13.098+00:00;master;INFO;RUN_START;Testlauf #4 gestartet ('Test lan1'), geplante Dauer 00:03:00, Router FRITZ!Box 5690 XGS mit Firmware 295.08.25.;"{""run_id"":4,""duration_s"":180.0}"
55;4;1785915433.0990303;2026-08-05T07:37:13.099+00:00;master;INFO;POWER_KEEPALIVE;Energiesparmodus unterdrueckt (Windows-Energieverwaltung);"{""standby_prevented"":true}"
56;4;1785915433.0996177;2026-08-05T07:37:13.099+00:00;master;DEBUG;MODULE_START;Modul 'ping' gestartet.;"{""module"":""ping""}"
57;4;1785915433.1019084;2026-08-05T07:37:13.101+00:00;master;INFO;MODULE_START;Ping-Monitor gestartet (Verfahren: icmplib, 3 Ziele, Intervall 1.0 s).;"{""backend"":""icmplib""}"
58;4;1785915433.1021245;2026-08-05T07:37:13.102+00:00;master;DEBUG;MODULE_START;Modul 'uptime' gestartet.;"{""module"":""uptime""}"
59;4;1785915433.1022553;2026-08-05T07:37:13.102+00:00;master;DEBUG;MODULE_START;Modul 'traffic' gestartet.;"{""module"":""traffic""}"
60;4;1785915433.1023428;2026-08-05T07:37:13.102+00:00;master;INFO;MODULE_START;Traffic-Generator gestartet: surfen (web x2, unbegrenzt), stream-hd (streaming x1, 5.0 Mbit/s), dauerdownload (download x1, 10.0 Mbit/s);"{""profiles"":3}"
61;4;1785915433.1025174;2026-08-05T07:37:13.102+00:00;master;DEBUG;MODULE_START;Modul 'speedtest' gestartet.;"{""module"":""speedtest""}"
62;4;1785915433.1065576;2026-08-05T07:37:13.106+00:00;master;DEBUG;MODULE_START;Modul 'wlan' gestartet.;"{""module"":""wlan""}"
63;4;1785915436.0153663;2026-08-05T07:37:16.015+00:00;master;DEBUG;WLAN_CLIENT_NEW;Neues WLAN-Geraet auf 5GHz: AA:BB:CC:00:00:02;"{""mac"":""AA:BB:CC:00:00:02"",""band"":""5GHz""}"
64;4;1785915509.2402916;2026-08-05T07:38:29.240+00:00;master;INFO;SPEEDTEST_DONE;Bandbreitenmessung: Down 22.43 Mbit/s, Up - Mbit/s, Latenz leer 3.87 ms / unter Last 4.21 ms (Bufferbloat 0.34 ms).;"{""down_mbps"":22.429151347460397,""up_mbps"":null,""bufferbloat_ms"":0.33931732177734375}"
65;4;1785915613.1028683;2026-08-05T07:40:13.102+00:00;master;DEBUG;MODULE_STOP;Modul 'uptime' beendet.;"{""module"":""uptime""}"
66;4;1785915613.1030977;2026-08-05T07:40:13.103+00:00;master;DEBUG;MODULE_STOP;Modul 'speedtest' beendet.;"{""module"":""speedtest""}"
67;4;1785915613.1031778;2026-08-05T07:40:13.103+00:00;master;DEBUG;MODULE_STOP;Modul 'wlan' beendet.;"{""module"":""wlan""}"
68;4;1785915613.1072516;2026-08-05T07:40:13.107+00:00;master;DEBUG;MODULE_STOP;Modul 'ping' beendet.;"{""module"":""ping""}"
69;4;1785915613.1130586;2026-08-05T07:40:13.113+00:00;master;DEBUG;MODULE_STOP;Modul 'traffic' beendet.;"{""module"":""traffic""}"
70;4;1785915613.1171565;2026-08-05T07:40:13.117+00:00;master;INFO;RUN_END;Testlauf #4 beendet, Laufzeit 00:03:04.;"{""run_id"":4}"
