id;test_run_id;ts;ts_iso;source;module;metric;value;unit;meta_json
1436;3;1785915172.7300858;2026-08-05T07:32:52.730+00:00;master;uptime;throughput_down;8.393991896716598;Mbit/s;
1437;3;1785915174.2864892;2026-08-05T07:32:54.286+00:00;master;traffic;stream_rate;4.793343281913632;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1438;3;1785915179.3602033;2026-08-05T07:32:59.360+00:00;master;traffic;stream_rate;5.373410897522754;Mbit/s;"{""profile"":""stream-hd#1"",""target_mbps"":5.0}"
1439;3;1785915180.1455302;2026-08-05T07:33:00.145+00:00;master;traffic;web_ttfb;73.66129999991244;ms;"{""profile"":""surfen#1"",""url"":""https://www.ethz.ch/"",""status"":200}"
1440;3;1785915180.145547;2026-08-05T07:33:00.145+00:00;master;traffic;web_total;76.64899999963382;ms;"{""size_bytes"":67278,""profile"":""surfen#1"",""url"":""https://www.ethz.ch/"",""status"":200}"
1441;3;1785915180.1501448;2026-08-05T07:33:00.150+00:00;master;traffic;web_ttfb;80.94919999984995;ms;"{""profile"":""surfen#2"",""url"":""https://www.ethz.ch/"",""status"":200}"
1442;3;1785915180.15016;2026-08-05T07:33:00.150+00:00;master;traffic;web_total;82.9699999994773;ms;"{""size_bytes"":67278,""profile"":""surfen#2"",""url"":""https://www.ethz.ch/"",""status"":200}"
1443;3;1785915180.2267537;2026-08-05T07:33:00.226+00:00;master;traffic;web_ttfb;76.05300000068382;ms;"{""profile"":""surfen#1"",""url"":""https://www.admin.ch/"",""status"":200}"
1444;3;1785915180.2267714;2026-08-05T07:33:00.226+00:00;master;traffic;web_total;81.18600000034348;ms;"{""size_bytes"":256292,""profile"":""surfen#1"",""url"":""https://www.admin.ch/"",""status"":200}"
1445;3;1785915180.2343712;2026-08-05T07:33:00.234+00:00;master;traffic;web_ttfb;79.33190000039758;ms;"{""profile"":""surfen#2"",""url"":""https://www.admin.ch/"",""status"":200}"
1446;3;1785915180.234387;2026-08-05T07:33:00.234+00:00;master;traffic;web_total;84.19049999974959;ms;"{""size_bytes"":256292,""profile"":""surfen#2"",""url"":""https://www.admin.ch/"",""status"":200}"
1447;3;1785915180.2647138;2026-08-05T07:33:00.264+00:00;master;traffic;web_ttfb;35.723500000131025;ms;"{""profile"":""surfen#1"",""url"":""https://www.ch.ch/de"",""status"":200}"
1448;3;1785915180.2647285;2026-08-05T07:33:00.264+00:00;master;traffic;web_total;37.92340000018157;ms;"{""size_bytes"":43250,""profile"":""surfen#1"",""url"":""https://www.ch.ch/de"",""status"":200}"
1449;3;1785915180.2659938;2026-08-05T07:33:00.265+00:00;master;traffic;web_ttfb;26.681899999857706;ms;"{""profile"":""surfen#2"",""url"":""https://www.ch.ch/de"",""status"":200}"
1450;3;1785915180.266008;2026-08-05T07:33:00.266+00:00;master;traffic;web_total;31.586800000695803;ms;"{""size_bytes"":43250,""profile"":""surfen#2"",""url"":""https://www.ch.ch/de"",""status"":200}"
1451;3;1785915182.690904;2026-08-05T07:33:02.690+00:00;master;uptime;router_uptime;1727833.0;s;
1452;3;1785915182.6909122;2026-08-05T07:33:02.690+00:00;master;uptime;wan_uptime;1727784.0;s;
1453;3;1785915182.6909165;2026-08-05T07:33:02.690+00:00;master;uptime;sync_down;4294967.0;kbit/s;
1454;3;1785915182.6909204;2026-08-05T07:33:02.690+00:00;master;uptime;sync_up;4294967.0;kbit/s;
1455;3;1785915182.6909244;2026-08-05T07:33:02.690+00:00;master;uptime;hosts;5.0;;
1456;3;1785915182.6909304;2026-08-05T07:33:02.690+00:00;master;uptime;availability;100.0;%;
1457;3;1785915182.690934;2026-08-05T07:33:02.690+00:00;master;uptime;reboots_unplanned;0.0;;
1458;3;1785915182.6909378;2026-08-05T07:33:02.690+00:00;master;uptime;wan_reconnects;0.0;;
