id;test_run_id;ts;ts_iso;reachable;router_uptime_s;wan_uptime_s;connection_status;last_error;sync_down_kbps;sync_up_kbps;bytes_sent;bytes_received;host_count
54;3;1785915162.5872703;2026-08-05T07:32:42.587+00:00;1;1727813;1727766;Connected;ERROR_NONE;4294967;4294967;17754362123;44078888487;5
55;3;1785915172.5947568;2026-08-05T07:32:52.594+00:00;1;1727823;1727774;Connected;ERROR_NONE;4294967;4294967;17754663546;44087076072;5
56;3;1785915182.595059;2026-08-05T07:33:02.595+00:00;1;1727833;1727784;Connected;ERROR_NONE;4294967;4294967;17755477891;44103748801;5
57;3;1785915192.5882556;2026-08-05T07:33:12.588+00:00;1;1727843;1727794;Connected;ERROR_NONE;4294967;4294967;17755734807;44116724173;5
58;3;1785915202.5908737;2026-08-05T07:33:22.590+00:00;1;1727853;1727804;Connected;ERROR_NONE;4294967;4294967;17755995787;44131013191;5
59;3;1785915212.5982037;2026-08-05T07:33:32.598+00:00;1;1727863;1727814;Connected;ERROR_NONE;4294967;4294967;17756363543;44151184834;5
60;3;1785915222.5877137;2026-08-05T07:33:42.587+00:00;1;1727873;1727824;Connected;ERROR_NONE;4294967;4294967;17756821841;44168187231;5
61;3;1785915232.5912678;2026-08-05T07:33:52.591+00:00;1;1727883;1727834;Connected;ERROR_NONE;4294967;4294967;17756974836;44178031207;5
62;3;1785915242.5939496;2026-08-05T07:34:02.593+00:00;1;1727893;1727844;Connected;ERROR_NONE;4294967;4294967;17757666094;44210433723;5
63;3;1785915252.5928714;2026-08-05T07:34:12.592+00:00;1;1727903;1727854;Connected;ERROR_NONE;4294967;4294967;17757909505;44224113949;5
64;3;1785915262.5919127;2026-08-05T07:34:22.591+00:00;1;1727913;1727864;Connected;ERROR_NONE;4294967;4294967;17758137246;44235588785;5
65;3;1785915272.5945122;2026-08-05T07:34:32.594+00:00;1;1727923;1727874;Connected;ERROR_NONE;4294967;4294967;17758473857;44253114817;5
66;3;1785915282.5903728;2026-08-05T07:34:42.590+00:00;1;1727933;1727884;Connected;ERROR_NONE;4294967;4294967;17758787389;44267573881;5
67;3;1785915292.5967498;2026-08-05T07:34:52.596+00:00;1;1727943;1727894;Connected;ERROR_NONE;4294967;4294967;17759126590;44289127477;5
68;3;1785915302.59306;2026-08-05T07:35:02.593+00:00;1;1727953;1727904;Connected;ERROR_NONE;4294967;4294967;17759662211;44307631786;5
69;3;1785915312.594976;2026-08-05T07:35:12.594+00:00;1;1727963;1727914;Connected;ERROR_NONE;4294967;4294967;17759984963;44321654076;5
70;3;1785915322.590598;2026-08-05T07:35:22.590+00:00;1;1727973;1727924;Connected;ERROR_NONE;4294967;4294967;17760229536;44336414155;5
71;3;1785915332.5880253;2026-08-05T07:35:32.588+00:00;1;1727983;1727934;Connected;ERROR_NONE;4294967;4294967;17760582423;44359981109;5
